,tweet_id,favorites,retweets
980,707377100785885184,3426,1145
981,707387676719185920,3654,1380
982,707411934438625280,2385,632
983,707420581654872064,2373,733
984,707610948723478529,17701,6809
985,707693576495472641,3587,1065
986,707741517457260545,2605,649
987,707776935007539200,3426,1005
988,707969809498152960,2813,1027
989,707995814724026368,3267,1189
990,708026248782585858,4553,2029
991,708109389455101952,2014,575
992,708119489313951744,2795,1039
993,708130923141795840,3528,888
994,708149363256774660,4458,1635
995,708349470027751425,2449,782
996,708356463048204288,3767,1415
997,708469915515297792,3216,869
998,708479650088034305,2656,713
999,708711088997666817,2660,767
1000,708738143638450176,2861,867
1001,708810915978854401,17211,7369
1002,708834316713893888,1764,535
1003,708845821941387268,3106,950
1004,709042156699303936,4955,1740
1005,709158332880297985,2125,447
1006,709198395643068416,2516,677
1007,709207347839836162,13137,6195
1008,709225125749587968,2507,606
1009,709409458133323776,2724,733
1010,709449600415961088,2321,612
1011,709519240576036864,1551,253
1012,709556954897764353,3433,1125
1013,709566166965075968,3687,1274
1014,709852847387627521,3657,1267
1015,709901256215666688,705,105
1016,709918798883774466,3108,1129
1017,710117014656950272,5733,2112
1018,710140971284037632,2880,943
1019,710153181850935296,3033,948
1020,710269109699739648,2495,1196
1021,710272297844797440,4722,1332
1022,710283270106132480,2227,546
1023,710588934686908417,4737,1988
1024,710658690886586372,2403,597
1025,710833117892898816,2801,570
1026,710844581445812225,2658,735
1027,710997087345876993,4743,1471
1028,711008018775851008,3121,653
1029,711306686208872448,3451,774
1030,711363825979756544,3809,1200
1031,711652651650457602,4031,975
1032,711694788429553666,34213,19382
1033,711732680602345472,9259,4368
1034,711743778164514816,2959,1040
1035,711968124745228288,8397,2446
1036,711998809858043904,0,132
1037,712065007010385924,2355,662
1038,712085617388212225,3383,509
1039,712092745624633345,3063,948
1040,712097430750289920,3952,1098
1041,712438159032893441,5545,1659
1042,712668654853337088,4323,1286
1043,712717840512598017,12870,5294
1044,712809025985978368,19357,7134
